epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,0.993071,0.733124,0.341028,0.983778,0.00100000,920.8,11.764,12.162,77,59,8.7,18.85
2,0.508038,0.924743,0.311973,0.990333,0.00100000,937.6,11.764,13.236,82,69,9.1,19.6
3,0.446433,0.945843,0.306259,0.992667,0.00100000,970.8,11.764,13.236,91,67,9.5,18.69
4,0.418751,0.955587,0.302587,0.992667,0.00100000,904.9,11.764,13.236,93,66,8.4,18.51
5,0.404111,0.960701,0.299823,0.994333,0.00100000,902.4,11.764,13.236,82,68,8.3,18.53
6,0.393383,0.964811,0.298769,0.995000,0.00100000,901.8,11.764,13.236,82,67,8.1,18.41
7,0.385133,0.967671,0.298217,0.994556,0.00100000,896.0,11.764,13.236,93,70,7.9,16.75
8,0.377162,0.970352,0.297897,0.995222,0.00100000,864.8,11.764,13.236,98,65,6.6,16.56
9,0.373272,0.971579,0.296679,0.995000,0.00100000,864.6,11.764,13.236,91,64,6.6,16.54
10,0.367685,0.973574,0.295632,0.995667,0.00100000,864.6,11.764,13.236,86,67,6.6,16.54
11,0.364278,0.974735,0.294133,0.996333,0.00100000,865.2,11.764,13.236,95,70,6.7,16.55
12,0.362493,0.975250,0.292985,0.996667,0.00100000,864.5,11.764,13.236,100,64,6.7,16.59
13,0.358214,0.976734,0.292786,0.996778,0.00100000,864.2,11.764,13.236,88,69,6.7,16.56
14,0.355378,0.977875,0.292645,0.996889,0.00100000,864.8,11.764,13.236,100,65,6.6,16.57
15,0.353563,0.978319,0.291756,0.996889,0.00100000,864.6,11.764,13.236,94,65,6.6,16.57
16,0.351238,0.979221,0.291504,0.996889,0.00100000,864.2,11.764,13.236,100,65,6.6,16.58
17,0.349663,0.979606,0.291037,0.997111,0.00100000,865.0,11.764,13.236,100,64,6.6,16.58
18,0.348301,0.980209,0.290734,0.997333,0.00100000,864.4,11.764,13.236,86,71,6.6,16.58
19,0.345814,0.981075,0.290213,0.997444,0.00100000,865.0,11.764,13.236,84,66,6.6,16.59
20,0.344692,0.981275,0.289857,0.997556,0.00100000,865.0,11.764,13.236,87,65,6.6,16.67
21,0.343707,0.981710,0.289408,0.997778,0.00100000,864.8,11.764,13.236,85,69,6.6,16.6
22,0.342351,0.982138,0.289428,0.997889,0.00100000,865.0,11.764,13.236,83,66,6.6,16.62
23,0.341817,0.982307,0.288696,0.997889,0.00100000,864.2,11.764,13.236,100,65,6.6,16.63
24,0.339935,0.983151,0.288701,0.998000,0.00100000,864.6,11.764,13.236,87,64,6.6,16.62
25,0.339209,0.983233,0.287941,0.998111,0.00100000,864.2,11.764,13.236,88,68,6.6,16.63
26,0.337464,0.983759,0.287965,0.998111,0.00100000,864.8,11.764,13.236,95,65,6.6,16.64
27,0.337367,0.983750,0.288216,0.998000,0.00100000,864.9,11.764,13.236,85,66,6.6,16.6
28,0.336247,0.984199,0.287889,0.998222,0.00100000,864.6,11.764,13.236,81,69,6.6,16.65
29,0.335232,0.984616,0.286767,0.998444,0.00100000,864.4,11.764,13.236,89,71,6.6,16.65
30,0.335091,0.984484,0.286410,0.998778,0.00100000,864.8,11.764,13.236,86,67,6.6,16.67
31,0.334752,0.984675,0.286308,0.998778,0.00100000,864.3,11.764,13.236,85,67,6.6,16.64
32,0.333494,0.984989,0.286282,0.998778,0.00100000,864.7,11.764,13.236,91,64,6.6,16.67
33,0.333151,0.985281,0.286276,0.998889,0.00100000,864.8,11.764,13.236,95,66,6.6,16.68
34,0.331781,0.985761,0.286083,0.998667,0.00100000,864.8,11.764,13.236,87,65,6.6,16.68
35,0.331803,0.985608,0.285791,0.998889,0.00100000,864.2,11.764,13.236,81,68,6.6,16.69
36,0.330400,0.986080,0.285600,0.999111,0.00100000,864.5,11.764,13.236,100,70,6.6,16.68
37,0.330248,0.986294,0.285539,0.998889,0.00100000,864.4,11.764,13.236,89,71,6.6,16.68
38,0.329613,0.986337,0.285467,0.999111,0.00100000,864.4,11.764,13.236,95,63,6.6,16.69
39,0.329111,0.986490,0.285085,0.999333,0.00100000,868.2,11.764,13.236,86,66,6.8,16.87
40,0.328180,0.986806,0.284811,0.999222,0.00100000,864.2,11.764,13.236,84,65,6.6,16.87
41,0.328252,0.986900,0.284817,0.999222,0.00100000,864.4,11.764,13.236,94,68,6.6,16.87
42,0.327268,0.987200,0.284490,0.999333,0.00100000,864.3,11.764,13.236,87,66,6.6,16.88
