epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,0.935823,0.761415,0.388332,0.975444,0.00003000,351.1,7.849,7.939,87,60,9.2,16.69
2,0.472159,0.945977,0.356504,0.982889,0.00003000,342.8,7.849,7.939,85,66,8.7,16.6
3,0.423119,0.961985,0.334730,0.988111,0.00003000,338.0,7.849,7.939,77,64,7.8,16.62
4,0.400771,0.968621,0.329416,0.989778,0.00003000,337.9,7.849,7.939,86,67,7.5,16.57
5,0.387053,0.972597,0.325179,0.989222,0.00003000,337.8,7.849,7.939,76,63,7.7,16.59
6,0.377657,0.975200,0.325040,0.987667,0.00003000,337.8,7.849,7.939,85,64,7.3,16.55
7,0.370768,0.977206,0.311039,0.993000,0.00003000,338.0,7.849,7.939,71,65,7.4,16.55
8,0.364264,0.978889,0.310987,0.993333,0.00003000,337.5,7.849,7.939,84,65,7.5,16.36
9,0.360584,0.979836,0.307310,0.993778,0.00003000,337.5,7.849,7.939,75,65,7.7,16.32
10,0.355661,0.981733,0.303353,0.994889,0.00003000,337.4,7.849,7.939,74,66,7.5,16.31
11,0.352666,0.982065,0.301262,0.995667,0.00003000,337.2,7.849,7.939,72,64,7.4,16.35
12,0.350198,0.983026,0.303015,0.995667,0.00003000,337.3,7.849,7.939,72,67,7.4,16.35
13,0.347674,0.983930,0.306438,0.993556,0.00003000,337.1,7.849,7.939,68,66,7.4,16.24
14,0.344623,0.984638,0.303001,0.995111,0.00003000,337.2,7.849,7.939,68,68,7.4,16.25
15,0.343835,0.984830,0.302604,0.995111,0.00003000,337.2,7.849,7.939,83,66,7.4,16.25
16,0.341883,0.985351,0.297138,0.997111,0.00003000,337.3,7.849,7.939,87,67,7.5,16.26
17,0.340283,0.985809,0.297220,0.996667,0.00003000,337.2,7.849,7.939,73,66,7.4,16.24
18,0.339276,0.986198,0.297964,0.996444,0.00003000,337.2,7.849,7.939,87,66,7.4,16.23
19,0.337634,0.986897,0.296138,0.997000,0.00003000,337.3,7.849,7.939,82,66,7.4,16.24
20,0.336593,0.987168,0.298682,0.996333,0.00003000,337.5,7.849,7.939,83,66,7.3,16.26
21,0.334764,0.987915,0.299838,0.995444,0.00003000,337.4,7.849,7.939,81,67,7.3,16.26
22,0.333793,0.988006,0.297518,0.996667,0.00003000,337.5,7.849,7.939,77,64,7.3,16.26
23,0.332917,0.988321,0.296111,0.996778,0.00003000,337.5,7.849,7.939,71,68,7.4,16.27
24,0.331916,0.988653,0.298875,0.995889,0.00003000,337.3,7.849,7.939,75,64,7.4,16.26
25,0.330840,0.988849,0.295731,0.996889,0.00003000,337.3,7.849,7.939,75,64,7.3,16.24
26,0.330434,0.988972,0.294924,0.997556,0.00003000,338.0,7.849,7.939,82,66,7.6,16.36
27,0.329186,0.989370,0.296291,0.997111,0.00003000,337.1,7.849,7.939,72,64,7.9,16.39
28,0.328271,0.989619,0.294684,0.997333,0.00003000,335.8,7.849,7.939,83,67,8.2,16.49
29,0.327293,0.989899,0.294329,0.997444,0.00003000,335.7,7.849,7.939,83,66,7.5,16.4
30,0.326812,0.990252,0.292756,0.997556,0.00003000,335.6,7.849,7.939,76,66,7.4,16.39
31,0.326657,0.990242,0.290978,0.998333,0.00003000,335.8,7.849,7.939,77,66,7.5,16.36
32,0.326407,0.990195,0.292743,0.997778,0.00003000,340.4,7.849,7.939,68,67,8.2,16.54
33,0.325016,0.990739,0.294559,0.997444,0.00003000,342.7,7.849,7.939,69,66,8.6,16.56
