epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,0.559764,0.892615,0.305684,0.992000,0.00099995,643.9,9.518,12.920,79,63,9.4,17.01
2,0.350248,0.977160,0.298330,0.994889,0.00099979,631.1,9.516,12.920,67,64,8.4,17.23
3,0.338363,0.981664,0.299868,0.995000,0.00099950,631.9,9.516,12.920,77,64,8.6,17.05
4,0.333977,0.983386,0.296578,0.996333,0.00099908,631.5,9.516,12.920,76,64,8.5,17.35
5,0.330758,0.984604,0.298784,0.995556,0.00099855,632.1,9.517,12.920,80,63,8.5,15.98
6,0.328547,0.985552,0.296480,0.996222,0.00099788,621.8,9.517,12.920,74,62,7.5,15.93
7,0.325250,0.986576,0.297895,0.996111,0.00099710,625.8,9.517,12.920,82,65,7.3,15.94
8,0.324804,0.987109,0.293326,0.996556,0.00099619,622.2,9.517,12.920,79,64,7.3,15.93
9,0.322401,0.987708,0.295282,0.995667,0.00099516,621.9,9.516,12.920,72,64,7.2,15.93
10,0.321264,0.988323,0.296235,0.996333,0.00099401,622.1,9.516,12.920,75,62,7.4,16.1
11,0.321012,0.988302,0.295500,0.996333,0.00099274,622.0,9.517,12.920,75,63,7.4,16.06
12,0.320568,0.988651,0.293425,0.996444,0.00099134,622.3,9.517,12.920,80,63,7.3,16.08
13,0.319068,0.989045,0.292651,0.997111,0.00098983,622.4,9.518,12.920,80,63,7.3,16.02
14,0.318985,0.989108,0.296622,0.996111,0.00098819,622.4,9.517,12.920,72,63,7.3,16.04
15,0.316890,0.989958,0.297723,0.995889,0.00098643,622.8,9.517,12.920,75,63,7.2,16.04
16,0.317547,0.989675,0.293831,0.997000,0.00098455,622.5,9.516,12.920,71,63,7.3,16.08
17,0.316137,0.990088,0.293671,0.996889,0.00098255,622.1,9.517,12.920,71,64,7.2,16.05
18,0.316713,0.989753,0.292520,0.997444,0.00098044,622.5,9.516,12.920,70,65,7.4,16.1
19,0.316024,0.990236,0.291198,0.997778,0.00097820,624.5,9.517,12.920,72,64,7.6,17.13
20,0.314984,0.990527,0.290360,0.997889,0.00097585,638.2,9.516,12.920,79,65,9.3,18.55
21,0.314750,0.990507,0.293534,0.997000,0.00097337,638.1,9.517,12.920,81,65,10.1,16.92
22,0.315033,0.990614,0.293742,0.996556,0.00097078,666.0,9.517,12.920,84,62,10.7,18.64
23,0.314431,0.990687,0.291618,0.997333,0.00096808,635.8,9.516,12.920,81,65,9.0,17.59
24,0.313461,0.991037,0.293503,0.996667,0.00096526,638.7,9.516,12.922,66,63,9.0,17.52
25,0.313374,0.991083,0.290587,0.997778,0.00096232,639.8,9.517,12.922,64,65,8.8,17.53
26,0.312819,0.991233,0.289144,0.997889,0.00095927,639.6,9.516,12.922,69,65,9.0,18.06
27,0.313268,0.991101,0.290492,0.997444,0.00095611,629.5,9.517,12.922,74,64,8.7,18.6
28,0.312487,0.991397,0.289314,0.998111,0.00095283,632.0,9.517,12.922,67,63,8.9,18.86
29,0.312349,0.991449,0.286633,0.998778,0.00094944,633.8,9.516,12.922,83,65,9.2,19.06
30,0.311936,0.991591,0.292622,0.997000,0.00094594,643.7,9.519,12.922,83,63,9.0,17.98
31,0.311181,0.991729,0.288452,0.998444,0.00094233,643.3,9.519,12.922,77,63,9.0,18.33
32,0.310991,0.991834,0.290213,0.998222,0.00093862,640.6,9.517,12.922,78,65,9.1,18.21
33,0.311378,0.991791,0.290559,0.997444,0.00093479,639.2,9.516,12.922,82,65,9.2,18.39
34,0.310254,0.992046,0.290170,0.998000,0.00093085,643.4,9.517,12.922,80,65,9.2,18.35
35,0.311137,0.991978,0.289689,0.998111,0.00092681,639.8,9.516,12.922,82,63,9.3,18.55
36,0.310074,0.992123,0.289316,0.998111,0.00092267,647.1,9.516,12.922,67,65,9.3,18.33
37,0.309691,0.992196,0.286661,0.998556,0.00091842,644.3,9.515,12.922,73,64,8.9,18.49
38,0.309692,0.992349,0.289277,0.998000,0.00091406,639.7,9.517,12.922,68,65,8.8,18.43
39,0.309298,0.992328,0.288591,0.998333,0.00090960,642.1,9.516,12.922,79,66,8.9,18.46
40,0.309161,0.992522,0.291147,0.997889,0.00090505,648.5,9.518,12.922,67,65,9.2,18.52
41,0.309573,0.992472,0.288672,0.998222,0.00090039,644.5,9.517,12.922,86,63,8.9,18.8
42,0.308686,0.992499,0.289929,0.997778,0.00089563,639.3,9.517,12.922,67,65,8.9,18.7
43,0.307579,0.992907,0.290814,0.998000,0.00089078,643.6,9.517,12.922,67,63,8.9,18.58
44,0.307947,0.992800,0.289556,0.997667,0.00088583,638.8,9.517,12.922,82,63,8.5,18.04
45,0.307876,0.992843,0.289161,0.998667,0.00088078,668.6,9.518,12.922,67,64,10.1,19.27
46,0.307382,0.992980,0.288917,0.998333,0.00087564,706.8,9.516,12.922,76,63,11.6,19.64
47,0.306506,0.993223,0.289779,0.997778,0.00087040,678.3,9.516,12.922,74,67,10.9,18.88
48,0.306827,0.993214,0.289218,0.998222,0.00086508,634.4,9.519,12.922,64,66,8.8,18.77
49,0.306754,0.993173,0.289543,0.998222,0.00085966,640.4,9.517,12.922,78,64,8.6,18.56
