epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,1.508810,0.492957,0.713350,0.849667,0.01000000,648.5,11.884,15.119,86,60,11.9,14.39
2,0.926798,0.753935,0.540800,0.915222,0.01000000,256.5,11.884,15.119,80,63,9.7,14.3
3,0.769296,0.815650,0.479161,0.936333,0.01000000,263.9,11.884,15.119,59,64,10.3,14.2
4,0.670974,0.856354,0.429707,0.954222,0.01000000,255.7,11.884,15.119,58,66,9.6,14.17
5,0.600013,0.885312,0.399097,0.963111,0.00999999,256.2,11.884,15.119,92,64,9.7,14.18
6,0.551094,0.904702,0.450692,0.941333,0.00999999,257.1,11.884,15.119,99,63,9.7,14.17
7,0.516860,0.917568,0.357637,0.977111,0.00999999,256.0,11.884,15.119,98,63,9.7,14.24
8,0.492308,0.927025,0.351056,0.978778,0.00999998,256.0,11.884,15.119,59,66,9.6,14.18
9,0.471053,0.934776,0.340224,0.983222,0.00999998,256.2,11.884,15.119,56,66,9.5,14.14
10,0.455574,0.940334,0.334940,0.983333,0.00999998,257.3,11.884,15.119,62,65,9.7,14.21
11,0.442547,0.945453,0.339105,0.982000,0.00999997,255.2,11.884,15.119,92,63,9.2,14.15
12,0.432858,0.948906,0.329525,0.986111,0.00999996,256.4,11.884,15.119,67,66,9.3,14.18
13,0.424273,0.952089,0.322759,0.989111,0.00999996,285.2,11.884,15.119,62,66,10.6,14.36
14,0.417051,0.954742,0.317604,0.989667,0.00999995,288.9,11.884,15.119,61,64,11.6,14.46
15,0.412414,0.956527,0.320402,0.988889,0.00999994,292.8,11.884,15.119,100,62,11.5,14.43
16,0.405562,0.959030,0.319483,0.989667,0.00999994,289.0,11.884,15.119,76,64,11.6,14.47
17,0.400977,0.961040,0.307245,0.992556,0.00999993,296.0,11.884,15.119,67,64,11.4,14.6
18,0.396779,0.962202,0.321506,0.988111,0.00999992,294.5,11.884,15.119,97,64,11.3,14.67
19,0.393907,0.963124,0.314362,0.989444,0.00999991,292.1,11.884,15.119,74,64,12.1,14.78
20,0.389932,0.964930,0.319424,0.988333,0.00999990,285.7,11.884,15.119,59,65,11.6,14.82
21,0.387464,0.965950,0.313412,0.990444,0.00999989,286.2,11.884,15.119,59,65,11.6,14.85
22,0.384345,0.967023,0.310949,0.991444,0.00999988,292.1,11.884,15.119,99,63,11.6,14.92
23,0.381254,0.968302,0.311180,0.991778,0.00999987,281.2,11.884,15.119,97,62,11.1,14.81
24,0.380736,0.968368,0.308204,0.992778,0.00999986,288.9,11.884,15.119,87,63,11.2,14.51
25,0.379080,0.969240,0.308612,0.992111,0.00999985,257.7,11.884,15.119,92,65,9.9,14.36
26,0.376224,0.970295,0.304441,0.994667,0.00999983,256.1,11.884,15.119,58,64,9.6,14.81
27,0.374442,0.971039,0.304003,0.993444,0.00999982,256.1,11.884,15.119,71,65,9.0,14.71
28,0.374403,0.971089,0.309340,0.991333,0.00999981,256.2,11.884,15.119,78,65,9.1,14.67
29,0.371505,0.972233,0.309012,0.992667,0.00999979,256.3,11.884,15.119,87,64,9.4,14.72
30,0.370866,0.972453,0.303765,0.993667,0.00999978,257.8,11.884,15.119,62,65,10.1,14.86
31,0.369547,0.973216,0.308575,0.992444,0.00999976,267.5,11.884,15.119,100,62,9.9,14.87
32,0.367231,0.973970,0.300573,0.995222,0.00999975,268.8,11.884,15.119,100,62,8.1,14.79
33,0.366712,0.974241,0.311498,0.991778,0.00999973,269.1,11.884,15.119,92,61,8.1,14.82
34,0.364923,0.974917,0.307787,0.992444,0.00999971,269.0,11.884,15.119,93,63,8.1,14.76
35,0.364863,0.974981,0.303410,0.994111,0.00999970,268.9,11.884,15.119,59,61,8.1,14.76
36,0.363983,0.975063,0.304230,0.993222,0.00999968,268.8,11.884,15.119,80,64,8.1,14.79
37,0.362863,0.975744,0.301685,0.995000,0.00999966,269.0,11.884,15.119,79,64,8.1,14.77
38,0.362549,0.975821,0.302519,0.994222,0.00999964,268.7,11.884,15.119,100,61,8.1,14.71
39,0.360522,0.976678,0.299183,0.996111,0.00999962,269.0,11.884,15.119,68,64,8.1,14.86
40,0.360165,0.976805,0.305659,0.993222,0.00999961,268.9,11.884,15.119,90,63,8.1,14.84
41,0.360626,0.976748,0.302121,0.994556,0.00999959,268.8,11.884,15.119,68,64,8.1,14.75
42,0.359874,0.976914,0.299076,0.995667,0.00999956,268.8,11.884,15.119,80,63,8.1,14.73
43,0.357841,0.978012,0.306157,0.994222,0.00999954,268.7,11.884,15.119,68,64,8.1,14.73
44,0.358067,0.977518,0.302554,0.994556,0.00999952,268.7,11.884,15.119,98,64,8.1,14.76
45,0.357305,0.977869,0.304067,0.994556,0.00999950,268.9,11.884,15.119,69,62,8.2,14.58
46,0.357509,0.977966,0.300304,0.996111,0.00999948,268.8,11.884,15.119,73,62,8.2,14.61
47,0.356822,0.978226,0.307314,0.993556,0.00999946,268.8,11.884,15.119,79,63,8.1,14.6
48,0.355403,0.978814,0.311418,0.991444,0.00999943,268.8,11.884,15.119,61,65,8.1,14.58
49,0.355841,0.978504,0.299384,0.995889,0.00999941,268.7,11.884,15.119,68,64,8.1,14.6
50,0.354765,0.978964,0.300660,0.995333,0.00999938,268.8,11.884,15.119,71,64,8.1,14.58
51,0.354754,0.979055,0.298127,0.996667,0.00999936,268.9,11.884,15.119,100,62,8.1,14.58
52,0.354023,0.979258,0.299651,0.995222,0.00999933,268.9,11.884,15.119,77,63,8.1,14.57
53,0.354622,0.978809,0.299940,0.995333,0.00999931,268.9,11.884,15.119,94,64,8.1,14.66
54,0.352933,0.979695,0.307232,0.994000,0.00999928,268.6,11.884,15.119,90,63,8.1,14.69
55,0.353089,0.979567,0.302052,0.994111,0.00999925,268.9,11.884,15.119,77,65,8.1,14.71
56,0.352939,0.979563,0.298381,0.995444,0.00999923,268.9,11.884,15.119,100,61,8.1,14.7
57,0.352821,0.979597,0.299725,0.995556,0.00999920,268.8,11.884,15.119,74,63,8.0,14.66
58,0.353636,0.979570,0.300098,0.995778,0.00999917,268.9,11.884,15.119,100,61,8.1,14.69
59,0.352807,0.979809,0.297910,0.995778,0.00999914,268.8,11.884,15.119,100,61,8.1,14.69
60,0.351319,0.980244,0.297854,0.995889,0.00999911,268.8,11.884,15.119,64,60,8.1,14.66
61,0.352431,0.980057,0.309491,0.992889,0.00999908,268.7,11.884,15.119,80,64,8.1,14.59
62,0.352163,0.979957,0.300807,0.995111,0.00999905,268.6,11.884,15.119,87,63,8.1,14.56
63,0.352435,0.979834,0.300983,0.994444,0.00999902,268.8,11.884,15.119,73,64,8.1,14.59
64,0.351726,0.980307,0.300303,0.995889,0.00999899,268.7,11.884,15.119,64,63,8.1,14.58
65,0.352214,0.979866,0.297482,0.995444,0.00999896,268.9,11.884,15.119,82,63,8.0,14.57
66,0.351464,0.980189,0.297922,0.995889,0.00999893,269.2,11.884,15.119,66,64,8.2,14.88
67,0.351058,0.980442,0.300269,0.994778,0.00999889,268.9,11.884,15.119,72,64,8.2,14.76
68,0.350973,0.980262,0.306531,0.994444,0.00999886,268.8,11.884,15.119,74,64,8.1,14.75
69,0.350911,0.980499,0.302047,0.994778,0.00999883,268.8,11.884,15.119,63,62,8.1,14.77
70,0.351016,0.980496,0.300153,0.995111,0.00999879,268.9,11.884,15.119,60,60,8.1,14.77
71,0.350799,0.980474,0.301927,0.994889,0.00999876,268.8,11.884,15.119,74,62,8.1,14.77
72,0.349836,0.980783,0.305464,0.993444,0.00999872,305.0,11.884,15.119,60,60,9.2,15.03
73,0.350656,0.980565,0.302016,0.995667,0.00999869,313.4,11.884,15.119,100,58,9.4,15.02
74,0.350630,0.980462,0.309887,0.992778,0.00999865,312.1,11.884,15.119,100,62,9.7,15.68
75,0.351111,0.980323,0.306608,0.993667,0.00999861,307.0,11.884,15.119,100,61,8.9,15.53
76,0.349379,0.980879,0.299519,0.994889,0.00999858,306.8,11.884,15.119,76,58,8.5,15.45
77,0.350659,0.980326,0.299552,0.995444,0.00999854,307.0,11.884,15.119,100,61,8.5,15.44
78,0.349703,0.980735,0.298949,0.995778,0.00999850,307.0,11.884,15.119,59,62,8.5,15.44
79,0.349978,0.980624,0.300703,0.995444,0.00999846,306.9,11.884,15.119,80,59,8.6,15.56
80,0.349901,0.980790,0.300096,0.995333,0.00999842,307.6,11.884,15.119,62,58,9.2,15.67
81,0.349532,0.980715,0.300340,0.994889,0.00999838,308.4,11.884,15.119,91,59,9.1,15.53
82,0.349186,0.980965,0.298574,0.996222,0.00999834,307.2,11.884,15.119,55,62,9.3,15.62
83,0.349050,0.981138,0.330282,0.985444,0.00999830,307.3,11.884,15.119,57,61,9.3,15.54
84,0.348604,0.981214,0.295339,0.996444,0.00999826,306.8,11.884,15.119,76,59,9.2,15.73
85,0.349126,0.980827,0.298036,0.995667,0.00999822,305.5,11.884,15.119,100,61,9.0,15.64
86,0.348932,0.981047,0.309080,0.993667,0.00999818,305.6,11.884,15.119,100,60,10.2,15.93
87,0.349348,0.980865,0.303301,0.993778,0.00999813,309.2,11.884,15.119,55,61,8.5,15.89
88,0.348768,0.981111,0.333374,0.989222,0.00999809,306.7,11.884,15.119,76,59,9.1,15.97
89,0.347796,0.981405,0.299664,0.995556,0.00999805,308.6,11.884,15.119,59,63,9.4,16.29
90,0.347728,0.981421,0.297756,0.995889,0.00999800,307.1,11.884,15.119,74,60,9.2,15.87
