epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.476503,0.681421,0.998688,0.722769,0.00002997
2,0.931443,0.814400,0.943016,0.735665,0.00002988
3,0.874049,0.830048,0.920701,0.740851,0.00002974
4,0.844202,0.837916,0.915438,0.744749,0.00002953
5,0.824673,0.843805,0.898856,0.751712,0.00002927
6,0.809261,0.848173,0.894276,0.752505,0.00002895
7,0.797449,0.851596,0.892351,0.750069,0.00002858
8,0.788276,0.854608,0.868947,0.758953,0.00002815
9,0.779565,0.857807,0.887810,0.748035,0.00002767
10,0.772022,0.860912,0.869556,0.763757,0.00002714
11,0.764012,0.863542,0.870818,0.761217,0.00002657
12,0.759596,0.864863,0.866172,0.765276,0.00002595
13,0.753238,0.867550,0.855231,0.769708,0.00002528
14,0.747853,0.869238,0.853854,0.773061,0.00002458
15,0.743539,0.871233,0.860458,0.769747,0.00002384
16,0.738335,0.873806,0.871384,0.763681,0.00002306
17,0.732978,0.875853,0.859996,0.772822,0.00002225
18,0.728169,0.877882,0.853553,0.770473,0.00002142
19,0.724755,0.879313,0.849889,0.775163,0.00002055
20,0.720667,0.881303,0.854757,0.768218,0.00001967
21,0.716071,0.883178,0.842366,0.779967,0.00001877
22,0.712829,0.884682,0.852744,0.775258,0.00001785
23,0.708088,0.886561,0.833589,0.779079,0.00001692
24,0.705181,0.888205,0.837174,0.781926,0.00001599
25,0.702053,0.889439,0.849320,0.781419,0.00001505
26,0.697836,0.891406,0.838818,0.784199,0.00001411
27,0.694325,0.893118,0.841031,0.786530,0.00001318
28,0.691827,0.894437,0.838758,0.787313,0.00001225
29,0.687505,0.896572,0.841662,0.785097,0.00001133
30,0.685524,0.897391,0.839155,0.788325,0.00001043
31,0.682537,0.898894,0.820463,0.801125,0.00000955
32,0.679574,0.900031,0.820767,0.799158,0.00000868
33,0.677753,0.900918,0.822909,0.799119,0.00000785
34,0.674574,0.902294,0.827739,0.799960,0.00000704
35,0.672398,0.903336,0.824622,0.801813,0.00000626
36,0.670613,0.904327,0.818621,0.804134,0.00000552
37,0.667868,0.905304,0.826714,0.801861,0.00000482
38,0.665942,0.906171,0.821478,0.803848,0.00000415
39,0.664482,0.907081,0.833134,0.799893,0.00000353
40,0.662809,0.907613,0.825078,0.803618,0.00000296
41,0.661022,0.908585,0.825958,0.803055,0.00000243
42,0.660017,0.908814,0.818309,0.806637,0.00000195
43,0.659369,0.909546,0.818706,0.809264,0.00000152
44,0.658182,0.909693,0.817975,0.808633,0.00000115
45,0.657286,0.910336,0.817977,0.807984,0.00000083
46,0.656632,0.910262,0.814707,0.809388,0.00000057
47,0.655814,0.910597,0.817938,0.808557,0.00000036
48,0.655372,0.910763,0.817189,0.808165,0.00000022
49,0.655159,0.911321,0.816544,0.809608,0.00000013
50,0.654160,0.911722,0.817782,0.809340,0.00000010
