epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.386955,0.474133,1.202651,0.700924,0.00003295
2,1.212953,0.740055,1.042260,0.744262,0.00004167
3,1.058773,0.780330,1.010941,0.743211,0.00005578
4,0.986885,0.800558,0.965858,0.752887,0.00007467
5,0.941429,0.811480,0.928663,0.759163,0.00009750
6,0.907531,0.820652,0.916886,0.756593,0.00012329
7,0.883165,0.826094,0.934170,0.749592,0.00015089
8,0.862092,0.831548,0.924223,0.746611,0.00017911
9,0.849354,0.834775,0.930846,0.742752,0.00020672
10,0.834637,0.838888,0.892294,0.774207,0.00023250
11,0.824156,0.841909,0.916811,0.740068,0.00025534
12,0.816304,0.843820,0.897452,0.755428,0.00027422
13,0.806981,0.847247,0.898076,0.757720,0.00028833
14,0.801805,0.848315,0.894297,0.749620,0.00029705
15,0.796195,0.849855,0.872488,0.776815,0.00030000
16,0.788802,0.852345,0.863288,0.774695,0.00029940
17,0.783214,0.854292,0.876454,0.759516,0.00029759
18,0.778479,0.856211,0.871584,0.767540,0.00029459
19,0.776026,0.856442,0.888653,0.752562,0.00029044
20,0.772199,0.857964,0.868517,0.769307,0.00028515
21,0.766483,0.860137,0.872454,0.767311,0.00027877
22,0.763146,0.860925,0.870648,0.768027,0.00027135
23,0.758956,0.862777,0.842168,0.780779,0.00026296
24,0.755367,0.864403,0.891668,0.762325,0.00025366
25,0.750956,0.866170,0.859469,0.774312,0.00024353
26,0.745813,0.868306,0.850393,0.777885,0.00023264
27,0.742806,0.869079,0.868842,0.768247,0.00022109
28,0.738519,0.870957,0.856159,0.779776,0.00020896
29,0.734096,0.872821,0.860830,0.775191,0.00019636
30,0.728602,0.875047,0.858519,0.770425,0.00018339
31,0.724866,0.876920,0.853434,0.777025,0.00017014
32,0.720183,0.878913,0.844908,0.781152,0.00015674
33,0.714396,0.881580,0.841490,0.787256,0.00014328
34,0.709219,0.883806,0.838486,0.790904,0.00012988
35,0.704532,0.885879,0.844762,0.786625,0.00011664
36,0.699734,0.888031,0.844402,0.784466,0.00010366
37,0.694572,0.890305,0.840561,0.788192,0.00009106
38,0.688770,0.893031,0.828096,0.797400,0.00007894
39,0.683692,0.895189,0.838125,0.793713,0.00006739
40,0.679286,0.897281,0.826610,0.800495,0.00005650
41,0.675845,0.899261,0.825687,0.802147,0.00004636
42,0.670844,0.901057,0.821986,0.805214,0.00003706
43,0.667612,0.903107,0.829962,0.800839,0.00002867
44,0.663555,0.904549,0.822744,0.805395,0.00002126
45,0.660796,0.905797,0.817045,0.810085,0.00001488
46,0.659692,0.906244,0.825118,0.805806,0.00000959
47,0.657061,0.907586,0.820010,0.808968,0.00000543
48,0.656404,0.907822,0.823341,0.809436,0.00000244
49,0.654914,0.908559,0.819889,0.809445,0.00000063
50,0.655817,0.908201,0.819927,0.809588,0.00000003
